trust_code,trust_region,trust_name,attendances_type1,breaches_4hr_type1,pct_4hr_type1,waits_12hr,admissions_type1,total_admissions,period,country
RDD,NHS England East Of England ,Basildon And Thurrock University Hospitals NHS Foundation Trust,11354.0,811.0,0.9285714285714286,0.0,3098.0,3360.0,2019-04-01,England
RC1,NHS England East Of England ,Bedford Hospital NHS Trust,6349.0,1334.0,0.7898881713655694,0.0,2069.0,2328.0,2019-04-01,England
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,10412.0,2520.0,0.7579715712639262,0.0,3426.0,4013.0,2019-04-01,England
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,9167.0,2590.0,0.7174648194611105,0.0,2928.0,3741.0,2019-04-01,England
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,16818.0,2347.0,0.8604471399690807,1.0,4837.0,6630.0,2019-04-01,England
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,6484.0,949.0,0.8536397285626157,0.0,1527.0,2052.0,2019-04-01,England
RC9,NHS England East Of England ,Luton And Dunstable University Hospital NHS Foundation Trust,9047.0,316.0,0.9650712943517188,0.0,3151.0,4251.0,2019-04-01,England
RQ8,NHS England East Of England ,Mid Essex Hospital Services NHS Trust,8576.0,2045.0,0.761543843283582,0.0,2190.0,2975.0,2019-04-01,England
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,7278.0,776.0,0.8933773014564441,0.0,1735.0,2330.0,2019-04-01,England
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,9473.0,4258.0,0.5505119814208804,2.0,3010.0,4902.0,2019-04-01,England
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,13115.0,3242.0,0.7528021349599695,0.0,3317.0,4384.0,2019-04-01,England
RAJ,NHS England East Of England ,Southend University Hospital NHS Foundation Trust,6975.0,1484.0,0.7872401433691756,0.0,2398.0,3904.0,2019-04-01,England
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,9008.0,2736.0,0.6962699822380106,10.0,2257.0,2911.0,2019-04-01,England
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",5950.0,912.0,0.8467226890756302,0.0,2362.0,3035.0,2019-04-01,England
