trust_code,trust_region,trust_name,attendances_type1,breaches_4hr_type1,pct_4hr_type1,waits_12hr,admissions_type1,total_admissions,period,country,year,population,attendances_per_100k,breaches_4hr_per_100k,waits_12hr_per_100k
RDD,NHS England East Of England ,Basildon And Thurrock University Hospitals NHS Foundation Trust,11354.0,811.0,0.9285714285714286,0.0,3098.0,3360.0,2019-04-01,England,2019,56230056,20.19204818149212,1.4422891558208657,0.0
RC1,NHS England East Of England ,Bedford Hospital NHS Trust,6349.0,1334.0,0.7898881713655694,0.0,2069.0,2328.0,2019-04-01,England,2019,56230056,11.291114488664212,2.3723967125339516,0.0
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,10412.0,2520.0,0.7579715712639262,0.0,3426.0,4013.0,2019-04-01,England,2019,56230056,18.516787534410422,4.481588992193072,0.0
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,9167.0,2590.0,0.7174648194611105,0.0,2928.0,3741.0,2019-04-01,England,2019,56230056,16.302669163267417,4.606077575309547,0.0
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,16818.0,2347.0,0.8604471399690807,1.0,4837.0,6630.0,2019-04-01,England,2019,56230056,29.909271297898048,4.173924351062357,0.0017784083302353458
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,6484.0,949.0,0.8536397285626157,0.0,1527.0,2052.0,2019-04-01,England,2019,56230056,11.531199613245985,1.6877095053933435,0.0
RC9,NHS England East Of England ,Luton And Dunstable University Hospital NHS Foundation Trust,9047.0,316.0,0.9650712943517188,0.0,3151.0,4251.0,2019-04-01,England,2019,56230056,16.089260163639178,0.5619770323543694,0.0
RQ8,NHS England East Of England ,Mid Essex Hospital Services NHS Trust,8576.0,2045.0,0.761543843283582,0.0,2190.0,2975.0,2019-04-01,England,2019,56230056,15.251629840098328,3.6368450353312824,0.0
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,7278.0,776.0,0.8933773014564441,0.0,1735.0,2330.0,2019-04-01,England,2019,56230056,12.943255827452848,1.3800448642626284,0.0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,9473.0,4258.0,0.5505119814208804,2.0,3010.0,4902.0,2019-04-01,England,2019,56230056,16.846862112319435,7.572462670142103,0.0035568166604706916
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,13115.0,3242.0,0.7528021349599695,0.0,3317.0,4384.0,2019-04-01,England,2019,56230056,23.323825251036563,5.765599806622992,0.0
RAJ,NHS England East Of England ,Southend University Hospital NHS Foundation Trust,6975.0,1484.0,0.7872401433691756,0.0,2398.0,3904.0,2019-04-01,England,2019,56230056,12.404398103391538,2.6391579620692536,0.0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,9008.0,2736.0,0.6962699822380106,10.0,2257.0,2911.0,2019-04-01,England,2019,56230056,16.019902238759997,4.865725191523906,0.01778408330235346
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",5950.0,912.0,0.8467226890756302,0.0,2362.0,3035.0,2019-04-01,England,2019,56230056,10.581529564900308,1.6219083971746358,0.0
RWG,NHS England East Of England ,West Hertfordshire Hospitals NHS Trust,8586.0,2449.0,0.7147682273468438,0.0,3017.0,3468.0,2019-04-01,England,2019,56230056,15.26941392340068,4.355322000746362,0.0
RGR,NHS England East Of England ,West Suffolk NHS Foundation Trust,6295.0,883.0,0.8597299444003177,0.0,2153.0,2806.0,2019-04-01,England,2019,56230056,11.195080438831503,1.5703345555978103,0.0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust",15289.0,4895.0,0.6798351756164562,13.0,4492.0,4935.0,2019-04-01,England,2019,56230056,27.190084960968203,8.705308776502019,0.0231193082930595
R1H,NHS England London,Barts Health NHS Trust,26232.0,6840.0,0.7392497712717292,0.0,8224.0,9866.0,2019-04-01,England,2019,56230056,46.6512073187336,12.164312978809766,0.0
RQM,NHS England London,Chelsea And Westminster Hospital NHS Foundation Trust,18238.0,1279.0,0.929871696457945,1.0,4256.0,4512.0,2019-04-01,England,2019,56230056,32.43461112683224,2.2745842543710078,0.0017784083302353458
RJ6,NHS England London,Croydon Health Services NHS Trust,7219.0,2893.0,0.5992519739576119,0.0,1919.0,2070.0,2019-04-01,England,2019,56230056,12.838329735968964,5.1449352993708555,0.0
RVR,NHS England London,Epsom And St Helier University Hospitals NHS Trust,12609.0,1868.0,0.8518518518518519,0.0,3554.0,3698.0,2019-04-01,England,2019,56230056,22.423950635937477,3.3220667608796264,0.0
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,13482.0,2677.0,0.8014389556445631,0.0,3582.0,4299.0,2019-04-01,England,2019,56230056,23.976501108232934,4.760799100040021,0.0
RQX,NHS England London,Homerton University Hospital NHS Foundation Trust,11085.0,529.0,0.9522778529544428,2.0,1636.0,1841.0,2019-04-01,England,2019,56230056,19.71365634065881,0.940778006694498,0.0035568166604706916
RYJ,NHS England London,Imperial College Healthcare NHS Trust,10117.0,2704.0,0.7327270930117624,12.0,3416.0,4613.0,2019-04-01,England,2019,56230056,17.992157076990996,4.808816124956375,0.021340899962824154
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,15903.0,5965.0,0.624913538326102,17.0,4691.0,5009.0,2019-04-01,England,2019,56230056,28.28202767573271,10.60820568985384,0.03023294161400088
RAX,NHS England London,Kingston Hospital NHS Foundation Trust,7667.0,1337.0,0.8256162775531498,0.0,2445.0,2928.0,2019-04-01,England,2019,56230056,13.6350566679144,2.3777319375246577,0.0
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,13388.0,3769.0,0.7184792351359426,8.0,4658.0,5234.0,2019-04-01,England,2019,56230056,23.80933072519081,6.702820996657019,0.014227266641882766
R1K,NHS England London,London North West University Healthcare NHS Trust,12544.0,2441.0,0.8054049744897959,0.0,6342.0,7046.0,2019-04-01,England,2019,56230056,22.30835409447218,4.341094734104479,0.0
RAP,NHS England London,North Middlesex University Hospital NHS Trust,8572.0,2120.0,0.7526831544563696,0.0,2533.0,2890.0,2019-04-01,England,2019,56230056,15.244516206777385,3.7702256600989337,0.0
RAL,NHS England London,Royal Free London NHS Foundation Trust,20387.0,3760.0,0.8155687447883455,0.0,4368.0,5401.0,2019-04-01,England,2019,56230056,36.256410628508,6.686815321684901,0.0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,13111.0,2115.0,0.8386850736023187,1.0,4179.0,5092.0,2019-04-01,England,2019,56230056,23.316711617715622,3.761333618447757,0.0017784083302353458
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,5772.0,2515.0,0.5642758142758143,3.0,2080.0,2417.0,2019-04-01,England,2019,56230056,10.264972882118418,4.472696950541895,0.005335224990706038
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,12003.0,2719.0,0.7734732983420811,3.0,2002.0,2363.0,2019-04-01,England,2019,56230056,21.34623518781486,4.8354922499099064,0.005335224990706038
RKE,NHS England London,Whittington Health NHS Trust,9077.0,1396.0,0.8462046931805662,1.0,1410.0,1527.0,2019-04-01,England,2019,56230056,16.142612413546235,2.482658029008543,0.0017784083302353458
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,5358.0,929.0,0.8266144083613288,0.0,1092.0,1357.0,2019-04-01,England,2019,56230056,9.528711833400983,1.6521413387886363,0.0
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,6270.0,1248.0,0.8009569377990431,8.0,2202.0,3090.0,2019-04-01,England,2019,56230056,11.150620230575619,2.219453596133712,0.014227266641882766
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,7552.0,1444.0,0.808792372881356,19.0,1387.0,1441.0,2019-04-01,England,2019,56230056,13.430539709937333,2.5680216288598396,0.033789758274471574
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,7843.0,1523.0,0.8058141017467806,0.0,2506.0,2864.0,2019-04-01,England,2019,56230056,13.94805653403582,2.708515886948432,0.0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,8510.0,2323.0,0.727027027027027,0.0,2126.0,3349.0,2019-04-01,England,2019,56230056,15.134254890302795,4.131242551136709,0.0
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,15617.0,5814.0,0.6277133892552987,1.0,4332.0,7270.0,2019-04-01,England,2019,56230056,27.773402893285397,10.339666031988301,0.0017784083302353458
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,14264.0,4090.0,0.7132641615255187,0.0,3697.0,4289.0,2019-04-01,England,2019,56230056,25.36721642247698,7.273690070662565,0.0
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,9264.0,1137.0,0.8772668393782384,0.0,3154.0,3559.0,2019-04-01,England,2019,56230056,16.475174771300246,2.0220502714775885,0.0
RXW,NHS England Midlands ,Shrewsbury And Telford Hospital NHS Trust,10088.0,3801.0,0.6232157018239493,15.0,2810.0,4961.0,2019-04-01,England,2019,56230056,17.94058323541417,6.759730063224551,0.02667612495353019
RJC,NHS England Midlands ,South Warwickshire NHS Foundation Trust,6055.0,417.0,0.9311312964492156,0.0,1863.0,2136.0,2019-04-01,England,2019,56230056,10.76826243957502,0.7415962737081393,0.0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,9220.0,2817.0,0.694468546637744,10.0,2349.0,3145.0,2019-04-01,England,2019,56230056,16.39692480476989,5.00977626627297,0.01778408330235346
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,12467.0,2750.0,0.7794176626293414,1.0,2944.0,3942.0,2019-04-01,England,2019,56230056,22.17141665304406,4.8906229081472015,0.0017784083302353458
RWD,NHS England Midlands ,United Lincolnshire Hospitals NHS Trust,11934.0,4825.0,0.5956929780459193,0.0,3996.0,5084.0,2019-04-01,England,2019,56230056,21.223525013028617,8.580820193385545,0.0
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,31156.0,10559.0,0.661092566439851,1.0,10814.0,15595.0,2019-04-01,England,2019,56230056,55.408089936812445,18.77821355895502,0.0017784083302353458
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,12545.0,3541.0,0.7177361498605022,0.0,4395.0,5142.0,2019-04-01,England,2019,56230056,22.310132502802414,6.29734389736336,0.0
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,17965.0,6192.0,0.655329807959922,2.0,5542.0,7522.0,2019-04-01,England,2019,56230056,31.949105652677993,11.011904380817263,0.0035568166604706916
